nome_dataset,nome_classificador,metrica,resultado_1,resultado_2,resultado_3,resultado_4,resultado_5,resultado_6,resultado_7,resultado_8,resultado_9,resultado_10,resultado_11,resultado_12,resultado_13,resultado_14,resultado_15,resultado_16,resultado_17,resultado_18,resultado_19,resultado_20
garments-workers,perceptron,acc,0.7714932126696833,0.6425339366515838,0.6719457013574661,0.7692307692307693,0.7647058823529411,0.8122171945701357,0.5203619909502263,0.7737556561085973,0.7782805429864253,0.7692307692307693,0.8099547511312217,0.8031674208144797,0.7669683257918553,0.7601809954751131,0.7058823529411765,0.7579185520361991,0.7760180995475113,0.8167420814479638,0.755656108597285,0.7692307692307693
garments-workers,perceptron,f1,0.627172433375926,0.6151014109347444,0.6593476100117466,0.6108080110497237,0.5310344827586206,0.6537848116795486,0.5203227061449311,0.6108058608058609,0.6296638281864505,0.5012169757047396,0.6794889502762431,0.6927097068060317,0.5497601740592395,0.5280061250805932,0.675124951941561,0.5727076425467326,0.5961011270179714,0.695361758974839,0.6433886149708651,0.5568181818181819
garments-workers,svm,acc,0.7285067873303167,0.7714932126696833,0.751131221719457,0.7375565610859729,0.753393665158371,0.7647058823529411,0.744343891402715,0.7217194570135747,0.755656108597285,0.7624434389140271,0.7579185520361991,0.7307692307692307,0.748868778280543,0.744343891402715,0.7669683257918553,0.7239819004524887,0.7647058823529411,0.7669683257918553,0.7420814479638009,0.744343891402715
garments-workers,svm,f1,0.43718166383701185,0.4630438181840051,0.49093269673744605,0.47015542328042326,0.4385044811952962,0.46008926474042755,0.48048138632604875,0.4345062877708318,0.46417025862068967,0.4752077797252219,0.4571582704911447,0.44560737812911727,0.4758501330085574,0.4664059912609639,0.46941249140472946,0.449867374005305,0.4683567727609178,0.49268434014196727,0.4425366199052972,0.44343039258293493
garments-workers,bayes,acc,0.7737556561085973,0.8144796380090498,0.7805429864253394,0.7760180995475113,0.7963800904977375,0.8167420814479638,0.7579185520361991,0.8009049773755657,0.7737556561085973,0.7986425339366516,0.8076923076923077,0.7963800904977375,0.7805429864253394,0.7805429864253394,0.7873303167420814,0.7647058823529411,0.8031674208144797,0.8076923076923077,0.7782805429864253,0.7850678733031674
garments-workers,bayes,f1,0.6422211429496519,0.6959089841259187,0.6451855836471221,0.6588947873061902,0.6532064023433414,0.6863298259140171,0.634272899508951,0.7004036109313861,0.6108058608058609,0.6773537396553562,0.6862342261084525,0.6834516344654168,0.6419378815590576,0.6514393957870946,0.6481368563685637,0.6565964440460182,0.6696476894925388,0.6971992746322788,0.6223803047738605,0.6427082358346876
garments-workers,trees,acc,0.7963800904977375,0.7918552036199095,0.8031674208144797,0.7918552036199095,0.8076923076923077,0.8461538461538461,0.7647058823529411,0.8054298642533937,0.7805429864253394,0.7895927601809954,0.8144796380090498,0.8393665158371041,0.7895927601809954,0.7782805429864253,0.8076923076923077,0.7918552036199095,0.7782805429864253,0.8031674208144797,0.7963800904977375,0.7873303167420814
garments-workers,trees,f1,0.7112453180801952,0.7265513624014848,0.7359563291791121,0.7199217566190044,0.7354281247579276,0.7802923976608187,0.6994141033689056,0.7540631469979296,0.6876962187597881,0.7211318629878631,0.7369124009175111,0.78318214164807,0.7211318629878631,0.7152136752136753,0.7161593496672031,0.7421890850071009,0.7052611523910617,0.7375565610859729,0.7276834611171961,0.7025231262708709
garments-workers,knn,acc,0.7850678733031674,0.8099547511312217,0.7918552036199095,0.7850678733031674,0.7895927601809954,0.830316742081448,0.7624434389140271,0.7782805429864253,0.7895927601809954,0.7737556561085973,0.7895927601809954,0.7986425339366516,0.8122171945701357,0.8009049773755657,0.7647058823529411,0.7714932126696833,0.7963800904977375,0.8235294117647058,0.7895927601809954,0.7669683257918553
garments-workers,knn,f1,0.7168099814533806,0.7376854599406528,0.7311719906917706,0.7134238310708898,0.7142142037751591,0.7602048566654369,0.6832579185520362,0.7152136752136753,0.7194570135746607,0.6992460738684304,0.7005747252026835,0.726506065978378,0.7449438592832065,0.7399443731279418,0.6853231106243154,0.7203635611959184,0.7355404866374153,0.7595480541219137,0.7005747252026835,0.6772922204501152
