dataset_name,classifier_name,metric,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
agaricus-lepiota,perceptron,f1-score,0.9136652783785666,0.8991436446103431,0.9562040838375108,0.9610609723137855,0.9357176161776641,0.9505896623761709,0.8474025974025974,0.8677354818712568,0.9151578141239538,0.9676859347874662,0.9520197920961826,0.7853793537227769,0.948908962590062,0.8574170277766898,0.9577385635607508,0.9523922623357814,0.9470801207489541,0.9079007713154055,0.9485874027657736,0.8256082293850586
agaricus-lepiota,perceptron,accuracy,0.9210992907801419,0.9086879432624113,0.9592198581560284,0.9636524822695035,0.9414893617021277,0.9539007092198581,0.8723404255319149,0.8856382978723404,0.9219858156028369,0.9689716312056738,0.9565602836879432,0.7854609929078015,0.9512411347517731,0.874113475177305,0.9601063829787234,0.9547872340425532,0.9485815602836879,0.9166666666666666,0.9521276595744681,0.8546099290780141
agaricus-lepiota,svm,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
agaricus-lepiota,svm,accuracy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
agaricus-lepiota,bayes,f1-score,0.6059167463140986,0.5840070672050197,0.5692927292234051,0.6038739528214526,0.6309383588535532,0.5978903243540407,0.6058629587155964,0.6325531441398728,0.5792390493445594,0.5815917440282923,0.6214415657056591,0.5878574931424907,0.587466829965299,0.5833584365403346,0.6037917900973339,0.5843160377358491,0.5903804671132608,0.5871385360608644,0.5870359140219662,0.6395937367752856
agaricus-lepiota,bayes,accuracy,0.7047872340425532,0.6906028368794326,0.6923758865248227,0.7118794326241135,0.725177304964539,0.7056737588652482,0.723404255319149,0.7313829787234043,0.6897163120567376,0.6764184397163121,0.726063829787234,0.699468085106383,0.6950354609929078,0.6923758865248227,0.7056737588652482,0.6897163120567376,0.6888297872340425,0.7012411347517731,0.7109929078014184,0.7322695035460993
agaricus-lepiota,trees,f1-score,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
agaricus-lepiota,trees,accuracy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
agaricus-lepiota,knn,f1-score,1.0,1.0,0.9962210548885078,1.0,1.0,0.9990608569680166,1.0,1.0,1.0,1.0,1.0,0.9990625116874374,0.9990688267464658,0.9981353584310562,0.9990616881793506,0.9990710720470921,0.9990787497457987,1.0,0.9990395218044729,1.0
agaricus-lepiota,knn,accuracy,1.0,1.0,0.9964539007092199,1.0,1.0,0.999113475177305,1.0,1.0,1.0,1.0,1.0,0.999113475177305,0.999113475177305,0.99822695035461,0.999113475177305,0.999113475177305,0.999113475177305,1.0,0.999113475177305,1.0
