nome_dataset,nome_classificador,metrica,resultado_1,resultado_2,resultado_3,resultado_4,resultado_5,resultado_6,resultado_7,resultado_8,resultado_9,resultado_10,resultado_11,resultado_12,resultado_13,resultado_14,resultado_15,resultado_16,resultado_17,resultado_18,resultado_19,resultado_20
wine,perceptron,accuracy,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9444444444444444,0.9714285714285714,0.9428571428571428,1.0,0.9444444444444444,0.9722222222222222,0.9714285714285714,0.9714285714285714,0.9444444444444444,0.9722222222222222,1.0,0.9714285714285714,0.9714285714285714
wine,perceptron,f1,0.974320987654321,0.9163636363636364,0.9709618874773139,0.9696394686907022,1.0,1.0,0.9717813051146384,0.9487179487179488,0.9726327312534209,0.9432492997198879,1.0,0.9487179487179488,0.974320987654321,0.9731615673644659,0.9701104613385314,0.9457411645054665,0.9709618874773139,1.0,0.9731615673644659,0.9701104613385314
wine,svm,accuracy,0.9722222222222222,0.9444444444444444,0.9722222222222222,0.9714285714285714,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9722222222222222,0.9722222222222222,1.0,1.0,0.9714285714285714
wine,svm,f1,0.9717813051146384,0.9440559440559441,0.9709618874773139,0.9696394686907022,1.0,1.0,0.9717813051146384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9701104613385314,0.9747545582047685,0.9709618874773139,1.0,1.0,0.9701104613385314
wine,bayes,accuracy,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,0.9444444444444444,0.9722222222222222,0.9714285714285714,1.0,0.9444444444444444,1.0,1.0,0.9714285714285714,0.9428571428571428,0.9444444444444444,0.9722222222222222,1.0,1.0,0.9428571428571428
wine,bayes,f1,0.945824706694272,0.9440559440559441,1.0,1.0,1.0,1.0,0.9440559440559441,0.9740129935032483,0.9726327312534209,1.0,0.942857142857143,1.0,1.0,0.9726327312534209,0.9441538629181649,0.9457411645054665,0.9709618874773139,1.0,1.0,0.9441538629181649
wine,knn,accuracy,0.9166666666666666,0.8888888888888888,0.9166666666666666,1.0,1.0,0.9722222222222222,0.8888888888888888,1.0,1.0,0.9714285714285714,0.8888888888888888,0.9722222222222222,1.0,1.0,0.9428571428571428,1.0,0.9722222222222222,0.9722222222222222,0.9428571428571428,0.9142857142857143
wine,knn,f1,0.9163636363636364,0.8876328502415459,0.9162962962962963,1.0,1.0,0.9751724137931035,0.8876328502415459,1.0,1.0,0.974320987654321,0.8877655677655678,0.974320987654321,1.0,1.0,0.9434817813765183,1.0,0.9709618874773139,0.974320987654321,0.9439932048627702,0.9133333333333332
wine,trees,accuracy,0.9444444444444444,0.8055555555555556,0.9722222222222222,0.9428571428571428,0.9714285714285714,0.9166666666666666,0.9444444444444444,0.8611111111111112,0.8857142857142857,0.9428571428571428,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9428571428571428,0.9714285714285714,0.9444444444444444,0.9722222222222222,0.8611111111111112,0.8571428571428571,0.9142857142857143
wine,trees,f1,0.9484126984126985,0.8088405797101449,0.9740129935032483,0.9375,0.9701104613385314,0.91514687100894,0.9451526251526251,0.864606657710106,0.8870509607351712,0.9432492997198879,0.8902691511387163,0.9453132832080201,0.9444694356975059,0.9465811965811967,0.9740129935032483,0.9457411645054665,0.9691228070175438,0.8621193789070377,0.86,0.9176703514271572
