nome_dataset,nome_classificador,metrica,resultado_1,resultado_2,resultado_3,resultado_4,resultado_5,resultado_6,resultado_7,resultado_8,resultado_9,resultado_10,resultado_11,resultado_12,resultado_13,resultado_14,resultado_15,resultado_16,resultado_17,resultado_18,resultado_19,resultado_20
wine-white,Decision Tree,accuracy,0.7834525025536262,0.7722165474974464,0.7681307456588355,0.7497446373850868,0.7589376915219612,0.7548518896833504,0.7711950970377937,0.7865168539325843,0.7599591419816139,0.7477017364657814,0.7885597548518897,0.7548518896833504,0.7783452502553626,0.7885597548518897,0.7722165474974464,0.7936670071501533,0.7783452502553626,0.7548518896833504,0.7395301327885597,0.7732379979570991
wine-white,Decision Tree,f1_score,0.7471393762183236,0.7457246516070045,0.7350347253271334,0.7167797280622517,0.7294921509122925,0.7196288447219199,0.7328265107212475,0.7576264781798561,0.7291890562079995,0.6971435585096457,0.766647360039427,0.7227780714339651,0.7467072043876122,0.7563402889245586,0.7383974587106383,0.7603560764696757,0.7427879580359467,0.7218987018151861,0.7166849948420089,0.7322605919049168
wine-white,KNN,accuracy,0.7834525025536262,0.7568947906026557,0.7732379979570991,0.7660878447395302,0.7385086823289071,0.7395301327885597,0.7885597548518897,0.7660878447395302,0.7609805924412666,0.7477017364657814,0.7783452502553626,0.7620020429009193,0.7681307456588355,0.7620020429009193,0.7711950970377937,0.7640449438202247,0.7589376915219612,0.7773237997957099,0.7589376915219612,0.7620020429009193
wine-white,KNN,f1_score,0.7480455282657887,0.7191258016297797,0.7322605919049168,0.7309035258814705,0.6929801350464038,0.6998394863563403,0.7481873860709239,0.7235571558043614,0.7309656235026635,0.7061871139964302,0.7479441555406061,0.72184006721484,0.7238576649183563,0.7187284598358785,0.7308591065292096,0.7206122713711247,0.7174865739970849,0.7444782338010631,0.728247471183251,0.7076889167393898
wine-white,Naive Bayes,accuracy,0.7048008171603677,0.6813074565883555,0.7436159346271706,0.6996935648621042,0.6823289070480082,0.6772216547497446,0.7221654749744637,0.693564862104188,0.7170582226762002,0.6925434116445353,0.7048008171603677,0.7037793667007151,0.6976506639427987,0.7068437180796732,0.7078651685393258,0.7088866189989785,0.7068437180796732,0.6905005107252298,0.7037793667007151,0.7180796731358529
wine-white,Naive Bayes,f1_score,0.6669601584855822,0.6494808449695668,0.7019606178402276,0.663518821603928,0.6474327130064835,0.6377945749503577,0.6843133535660091,0.6566518587795184,0.6846140874227331,0.6547263215246084,0.6755397044741716,0.6714734688587721,0.6518759850843809,0.6692649324753014,0.6711802065032554,0.6764447011101177,0.6677018964100078,0.6508267405575481,0.676769677760169,0.6725657282456956
wine-white,Perceptron,accuracy,0.7405515832482125,0.6649642492339122,0.7538304392236976,0.6016343207354443,0.6741573033707865,0.6475995914198162,0.36567926455566907,0.7344228804902962,0.6567926455566905,0.7446373850868233,0.6710929519918284,0.6741573033707865,0.7211440245148111,0.6996935648621042,0.686414708886619,0.7099080694586313,0.710929519918284,0.33605720122574056,0.6710929519918284,0.5362614913176711
wine-white,Perceptron,f1_score,0.6264930305215093,0.4393994413407821,0.71680240060015,0.6006338646918539,0.6701430220632736,0.646358356446653,0.3167441562513697,0.7204331781038573,0.44474153297682706,0.6415579013965695,0.46347947443665327,0.6679362243948601,0.6978179832371727,0.5121527071553512,0.4718476799662604,0.5634898705082958,0.5626849722433118,0.25382497514117935,0.49227225872954516,0.534208187664009
wine-white,SVM,accuracy,0.7517875383043923,0.7088866189989785,0.7599591419816139,0.7017364657814096,0.7313585291113381,0.7119509703779366,0.7354443309499489,0.7323799795709908,0.7129724208375894,0.763023493360572,0.7344228804902962,0.7323799795709908,0.7313585291113381,0.7313585291113381,0.7313585291113381,0.72829417773238,0.7313585291113381,0.7415730337078652,0.7170582226762002,0.7354443309499489
wine-white,SVM,f1_score,0.6542400816230428,0.6050390905346124,0.6593733945103544,0.5936003730367236,0.6365583019616312,0.6161958516376578,0.6303543808139578,0.6255022543042026,0.6105824015446529,0.6798488949030221,0.6401956349655095,0.6277674580600221,0.6313018997882124,0.6334351264583823,0.6280228551615537,0.6232174688057041,0.630219575841918,0.6442796680152292,0.6304225467281759,0.616005754741983
