dataset_name,classifier_name,metric,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
column_2C.csv,perceptron,f1-score,0.44334975369458124,0.8927354035713169,0.7254637835282997,0.5832332761578044,0.8001526662062449,0.6481205926117616,0.6044634377967711,0.7663872770255749,0.797148237826204,0.7997198879551822,0.4235764235764236,0.5632583170254403,0.5987301587301587,0.5005446623093682,0.7171929824561403,0.6671626984126983,0.7567216391804097,0.7278688524590163,0.6978121757177448,0.6516036418697029
column_2C.csv,perceptron,accuracy,0.5967741935483871,0.9032258064516129,0.7580645161290323,0.7258064516129032,0.8548387096774194,0.7903225806451613,0.7258064516129032,0.7741935483870968,0.8225806451612904,0.8225806451612904,0.5967741935483871,0.7096774193548387,0.7580645161290323,0.5645161290322581,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.8225806451612904,0.7903225806451613,0.7741935483870968
column_2C.csv,svm,f1-score,0.5139010828211882,0.45768509323623524,0.47462919594067127,0.5028985507246376,0.6154057582629011,0.462026862026862,0.44921227197346597,0.48169934640522877,0.54312047399605,0.5071168487255875,0.5410628019323672,0.46810035842293907,0.4902356902356903,0.4977954144620811,0.4615384615384615,0.44867277425416957,0.5068376068376068,0.5282935455349248,0.48913515862668405,0.4944560982918789
column_2C.csv,svm,accuracy,0.7419354838709677,0.6129032258064516,0.6451612903225806,0.6612903225806451,0.7741935483870968,0.6935483870967742,0.6451612903225806,0.6451612903225806,0.7419354838709677,0.6774193548387096,0.7741935483870968,0.6290322580645161,0.6774193548387096,0.6612903225806451,0.6612903225806451,0.6129032258064516,0.6935483870967742,0.7096774193548387,0.6612903225806451,0.7258064516129032
column_2C.csv,bayes,f1-score,0.8357142857142857,0.8770114942528736,0.7432950191570882,0.7056774642981539,0.6856800856800858,0.7205128205128206,0.9034578990973706,0.7347763347763347,0.8344877344877345,0.7167919799498748,0.8881446039340776,0.7762416794674859,0.7583157583157583,0.7861246612466125,0.7486821186511589,0.7532467532467533,0.8341044919992289,0.8310267471958586,0.8424691358024691,0.7002489884842825
column_2C.csv,bayes,accuracy,0.8870967741935484,0.8870967741935484,0.7741935483870968,0.7580645161290323,0.7741935483870968,0.8064516129032258,0.9354838709677419,0.7419354838709677,0.8709677419354839,0.7580645161290323,0.9193548387096774,0.8225806451612904,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.7903225806451613,0.8548387096774194,0.8709677419354839,0.8709677419354839,0.8064516129032258
column_2C.csv,trees,f1-score,0.8238977165105755,0.8840492034684412,0.6895268474215842,0.630299776851501,0.6939574567554931,0.6579535200224855,0.8221743982145703,0.7127196919823647,0.6980539861895795,0.7326923076923076,0.7057277391243235,0.7739695340501792,0.7822906618896698,0.767475747941632,0.7720588235294118,0.6785340936089334,0.7139876718824087,0.786816220880069,0.7160453925159808,0.6171868462890134
column_2C.csv,trees,accuracy,0.8548387096774194,0.9032258064516129,0.7580645161290323,0.6935483870967742,0.8064516129032258,0.7741935483870968,0.8870967741935484,0.7258064516129032,0.7903225806451613,0.7580645161290323,0.7903225806451613,0.8225806451612904,0.8387096774193549,0.7903225806451613,0.8387096774193549,0.7580645161290323,0.7580645161290323,0.8387096774193549,0.7741935483870968,0.7419354838709677
column_2C.csv,knn,f1-score,0.7760210803689064,0.6568366592756837,0.7130647130647131,0.6828271395334214,0.7688977688977688,0.7261538461538461,0.6620786620786621,0.7673992673992673,0.7361795292829775,0.7387309790410566,0.5950947603121516,0.6910600255427841,0.7739491691104594,0.7640760441292356,0.6971788028974456,0.6970335675253708,0.7377204539675936,0.7047619047619048,0.728114478114478,0.5618067978533094
column_2C.csv,knn,accuracy,0.8225806451612904,0.6935483870967742,0.7419354838709677,0.7258064516129032,0.8225806451612904,0.7903225806451613,0.7096774193548387,0.7741935483870968,0.7580645161290323,0.7580645161290323,0.7580645161290323,0.7258064516129032,0.8225806451612904,0.7741935483870968,0.7096774193548387,0.7258064516129032,0.7741935483870968,0.7419354838709677,0.7741935483870968,0.6774193548387096
