Nome_Dataset,Nome_Classificador,Metrica,Execucao_1,Execucao_2,Execucao_3,Execucao_4,Execucao_5,Execucao_6,Execucao_7,Execucao_8,Execucao_9,Execucao_10,Execucao_11,Execucao_12,Execucao_13,Execucao_14,Execucao_15,Execucao_16,Execucao_17,Execucao_18,Execucao_19,Execucao_20
breast-cancer-wisconsin.csv,Perceptron,Acurácia,0.9357142857142857,0.95,0.95,0.9642857142857143,0.9640287769784173,0.9642857142857143,0.9214285714285714,0.9571428571428572,0.9714285714285714,0.935251798561151,0.9642857142857143,0.9857142857142858,0.9642857142857143,0.9642857142857143,0.9424460431654677,0.9428571428571428,0.9428571428571428,0.9571428571428572,0.9857142857142858,0.9568345323741008
breast-cancer-wisconsin.csv,Perceptron,F1-Measure,0.9355496850233692,0.9492877492877491,0.9505392997400298,0.9643674312182599,0.9639377367821015,0.9646709283857356,0.9225448020248087,0.9571428571428572,0.9715555555555556,0.9343386194846205,0.964516842745727,0.9857142857142858,0.9646709283857356,0.9639961556470096,0.942146560272596,0.942255776710135,0.9435747332640921,0.9566671071758953,0.985781565373402,0.9568345323741008
breast-cancer-wisconsin.csv,SVM,Acurácia,0.9571428571428572,0.9642857142857143,0.9714285714285714,0.9642857142857143,0.9712230215827338,0.9714285714285714,0.9642857142857143,0.9571428571428572,0.9857142857142858,0.9568345323741008,0.9571428571428572,0.9928571428571429,0.9571428571428572,0.9928571428571429,0.9424460431654677,0.9928571428571429,0.9428571428571428,0.95,0.9857142857142858,0.9496402877697842
breast-cancer-wisconsin.csv,SVM,F1-Measure,0.9573446961202065,0.9641942694574275,0.9715631307468042,0.964516842745727,0.9714752243149299,0.9715631307468042,0.9645308650833512,0.9571428571428572,0.9857777777777778,0.95703518817599,0.9576486013986015,0.9928744457052722,0.9573446961202065,0.9928744457052722,0.9424460431654677,0.992873486243652,0.9437562437562438,0.9498719772403983,0.985781565373402,0.9497607586881456
breast-cancer-wisconsin.csv,Naive Bayes,Acurácia,0.95,0.9571428571428572,0.9642857142857143,0.9642857142857143,0.9640287769784173,0.9714285714285714,0.9571428571428572,0.95,0.9714285714285714,0.9496402877697842,0.95,0.9857142857142858,0.9428571428571428,0.9785714285714285,0.9424460431654677,0.9785714285714285,0.9571428571428572,0.95,0.9785714285714285,0.9424460431654677
breast-cancer-wisconsin.csv,Naive Bayes,F1-Measure,0.9503432111166917,0.9573446961202065,0.9645308650833512,0.964516842745727,0.9644110856641085,0.9715631307468042,0.9575238095238096,0.9503432111166917,0.9716677682308877,0.9499813049509606,0.9506666666666667,0.985781565373402,0.9433650793650794,0.9787185190500107,0.9424460431654677,0.9787101056474362,0.9576810499480692,0.9501211199369051,0.9787185190500107,0.9429504486298602
breast-cancer-wisconsin.csv,KNN,Acurácia,0.9642857142857143,0.9714285714285714,0.9642857142857143,0.9714285714285714,0.9712230215827338,0.9714285714285714,0.9642857142857143,0.9714285714285714,0.9857142857142858,0.9496402877697842,0.9857142857142858,0.9857142857142858,0.9571428571428572,0.9857142857142858,0.920863309352518,0.9714285714285714,0.95,0.9642857142857143,0.9785714285714285,0.9496402877697842
breast-cancer-wisconsin.csv,KNN,F1-Measure,0.9643722285263607,0.9712782298918196,0.9643722285263607,0.9714285714285714,0.9713567921173265,0.9714285714285714,0.9646709283857356,0.9714285714285714,0.9857777777777778,0.9489300373769268,0.9857777777777778,0.9857142857142858,0.9571428571428572,0.9857142857142858,0.9202285599593559,0.971286231884058,0.9507103285612418,0.9639961556470096,0.9786233371158163,0.949512831494942
breast-cancer-wisconsin.csv,Decision Tree,Acurácia,0.9285714285714286,0.9285714285714286,0.9357142857142857,0.9285714285714286,0.9280575539568345,0.9357142857142857,0.9285714285714286,0.9357142857142857,0.9571428571428572,0.920863309352518,0.95,0.95,0.9357142857142857,0.95,0.935251798561151,0.9285714285714286,0.9357142857142857,0.95,0.9357142857142857,0.8992805755395683
breast-cancer-wisconsin.csv,Decision Tree,F1-Measure,0.9285714285714286,0.9273182957393483,0.9347985347985347,0.9285714285714286,0.9276832003407449,0.9355496850233692,0.9285714285714286,0.9351930801646172,0.9573333333333334,0.9202285599593559,0.9503235798440178,0.9495946179058133,0.9358700113474492,0.9495946179058133,0.9354066897419012,0.9269005847953216,0.9361555571500322,0.9501211199369051,0.9358700113474492,0.8975304862492983
